,index,gene,global_bin,present,avg_exp
123,5994,A330102I10Rik,0.5662012776203911,0.6598482349059717,1.5666737658212644
124,6029,Smim13,0.6779549357023096,0.7789508413064996,1.3140706188026343
125,6051,Id4,0.6038181720570335,0.6410425602111515,1.3000478593071507
126,6198,Ankrd34b,0.5782082365097873,0.7099967007588255,1.5856681276426645
127,6211,Sv2c,0.6722587600583677,0.5908940943582977,2.456289605784368
128,6240,Rgs7bp,0.5488690208285096,0.6779940613658859,1.1815376569621163
129,6300,Thoc7,0.502251026370176,0.7990762124711317,0.7994346845242433
130,6350,Cacna2d3,0.6957265482908088,0.605080831408776,2.849001952492807
131,6392,Ghitm,0.534905017876504,0.7086770042890135,1.2858633569580924
132,6539,Nefm,0.6209664810615774,0.5664797096667766,2.147773747275836
133,6656,Pdzd2,0.5379784652806838,0.22665786869020127,1.2966823572536135
134,6696,Zfpm2,0.6629220597313219,0.26657868690201253,2.6544491583368806
135,6722,Ndufb9,0.5444995411157096,0.7792807654239525,1.080424422613203
136,6748,Lynx1,0.5127606765854753,0.7139557901682614,1.1648985719064955
137,6948,Scn8a,0.6469225886905265,0.7937974265918839,1.2872888447170943
138,6975,Pde1b,0.5864060970302921,0.7799406136588585,1.118917054873766
139,7082,P3h2,0.5179189362174603,0.2418343780930386,1.0853531475718579
140,7125,Fstl1,0.5039233426442227,0.7518970636753547,1.1303717280244885
141,7168,Atp5j,0.6243517821245617,0.7835697789508413,1.2438428150358032
142,7302,Ndufb10,0.5276413568176486,0.7842296271857472,1.0941508832525817
143,7482,Rcan2,0.5438352261672806,0.7423292642692181,0.8993473128201952
144,7580,Epb41l3,0.5373302403976102,0.7175849554602441,0.8440670999019253
145,7692,Epb41l4a,0.5870491772574126,0.2520620257340812,1.2508598105429214
146,7814,Gnal,0.560548937380811,0.7937974265918839,0.9907913228799188
147,7843,Atp5a1,0.6107811761716286,0.7878587924777302,1.2037600536755941
148,7953,Prdx5,0.5630933069003915,0.7380402507423294,1.2026882916199466
149,8035,Klf9,0.5346005120462692,0.7334213130979874,1.149606293694498
150,8100,Got1,0.653187982517184,0.7650940283734742,1.557640889325144
151,8109,Ndufb8,0.6156025424526377,0.7802705377763115,1.2240437084191162
152,8113,Pax2,0.8534387437312057,0.28934345100626857,2.4493565882302475
153,8189,Lancl3,0.6416699864656081,0.22665786869020124,1.0711475726347324
154,8191,Dynlt3,0.5169089645999663,0.6638073243154075,1.1189781941378816
155,8239,Hs6st2,0.6151034572697639,0.7575057736720555,1.648749154029803
156,8400,Map7d2,0.5948417611906579,0.7984163642362256,0.9531838464849156
157,8407,Ap1s2,0.5986210926036694,0.7898383371824481,1.4300085106664648
158,8425,mt-Nd1,0.5101673805862079,0.5166611679313757,0.9711144307775008
159,8427,mt-Co1,0.6102593076470162,0.7611349389640383,1.3070062314344026
160,8431,mt-Co3,0.618323220303892,0.7802705377763115,1.27382394164996
