supertype,proportion
0947 IPN-LDT Vsx2 Nkx6-1 Glut_2,0.0009623404118816963
0948 LDT Vsx2 Nkx6-1 Nfib Glut_1,0.0007057163020465773
0951 NLL-SOC Spp1 Glut_2,0.00032078013729389875
0974 PGRN-PARN-MDRN Hoxb5 Glut_2,0.0026303971258099697
0979 PGRN-PARN-MDRN Hoxb5 Glut_7,0.0316930775646372
0988 CU-ECU-SPVI Foxb1 Glut_1,0.00032078013729389875
1003 CBN Neurod2 Pvalb Glut_1,0.0020529928786809522
1026 HB Calcb Chol_2,0.0034002694553153267
1031 CS-RPO Meis2 Gaba_1,0.00032078013729389875
1032 CS-RPO Meis2 Gaba_2,0.0012189645217168153
1033 CS-RPO Meis2 Gaba_3,0.0004490921922114583
1037 PRNc Otp Gly-Gaba_2,0.0005132482196702381
1040 PRNc Otp Gly-Gaba_5,0.0014114326040931546
1044 CS-PRNr-PCG Tmem163 Otp Gaba_1,0.0037852056200680054
1045 CS-PRNr-PCG Tmem163 Otp Gaba_2,0.0014755886315519343
1047 CS-PRNr-DR En1 Sox2 Gaba_1,0.0053249502790787195
1048 CS-PRNr-DR En1 Sox2 Gaba_2,0.006928850965548213
1050 LDT-DTN Gata3 Nfix Gaba_1,0.009944184256110862
1051 LDT-DTN Gata3 Nfix Gaba_2,0.00025662410983511903
1056 LDT-PCG-CS Gata3 Lhx1 Gaba_1,0.0026945531532687494
1057 LDT-PCG-CS Gata3 Lhx1 Gaba_2,0.0004490921922114583
1058 LDT-PCG-CS Gata3 Lhx1 Gaba_3,0.0027587091807275295
1059 LDT-PCG-CS Gata3 Lhx1 Gaba_4,0.00019246808237633926
1060 LDT-PCG-CS Gata3 Lhx1 Gaba_5,0.00019246808237633926
1067 LDT-PCG St18 Gaba_1,0.0012189645217168153
1068 LDT-PCG St18 Gaba_2,0.00025662410983511903
1069 DTN-LDT-IPN Otp Pax3 Gaba_1,0.0016039006864694938
1070 DTN-LDT-IPN Otp Pax3 Gaba_2,0.0003849361647526785
1071 DTN-LDT-IPN Otp Pax3 Gaba_3,0.0019888368512221725
1072 DTN-LDT-IPN Otp Pax3 Gaba_4,0.0011548084942580355
1076 NLL Gata3 Gly-Gaba_3,0.0032719574003977673
1089 MY Lhx1 Gly-Gaba_1,0.027009687560146274
1093 MY Lhx1 Gly-Gaba_5,0.0010264964393404761
1115 CBN Dmbx1 Gaba_1,0.00025662410983511903
