cluster,proportion
0460 CT SUB Glut_2,3.17861067468282e-05
0461 L5 NP CTX Glut_1,0.00010444006502529266
0462 L5 NP CTX Glut_1,3.632697913923223e-05
0463 L5 NP CTX Glut_1,0.00019525751287337322
0464 L5 NP CTX Glut_2,0.0011397589704934112
0465 L5 NP CTX Glut_2,0.006393548328504872
0466 L5 NP CTX Glut_2,0.004477300178910373
0467 L5 NP CTX Glut_2,8.173570306327252e-05
0468 L5 NP CTX Glut_3,0.002406662367974135
0469 L5 NP CTX Glut_3,0.005716958342036672
0470 L5 NP CTX Glut_3,0.004618067223074897
0471 L5 NP CTX Glut_3,0.0001725531509113531
0472 L5 NP CTX Glut_4,0.0007174578379998365
0473 L5 NP CTX Glut_4,0.0017936445949995913
0474 L5 NP CTX Glut_4,0.0011579224600630272
0497 HPF CR Glut_1,0.00013622617177212087
0507 DG Glut_2,1.3622617177212087e-05
0569 OB-out Frmd7 Gaba_1,9.53583202404846e-05
0571 OB-out Frmd7 Gaba_1,2.7245234354424173e-05
0623 Vip Gaba_1,0.0008309796478099372
0624 Vip Gaba_1,0.0018572168084932477
0625 Vip Gaba_1,9.53583202404846e-05
0626 Vip Gaba_1,4.5408723924040284e-05
0627 Vip Gaba_2,0.0006856717312530083
0628 Vip Gaba_2,2.2704361962020142e-05
0629 Vip Gaba_2,0.0005812316662277157
0630 Vip Gaba_2,1.3622617177212087e-05
0631 Vip Gaba_2,0.00011352180981010072
0632 Vip Gaba_3,0.0007855709238858969
0633 Vip Gaba_3,0.0001907166404809692
0634 Vip Gaba_3,4.5408723924040284e-05
0636 Vip Gaba_4,3.632697913923223e-05
0638 Vip Gaba_4,0.0002043392576581813
0639 Vip Gaba_4,0.0017028271471515107
0640 Vip Gaba_5,0.0003950558981391505
0641 Vip Gaba_5,0.0024520710918981754
0642 Vip Gaba_5,0.0013985886968604408
0643 Vip Gaba_5,0.0017527767434679551
0644 Vip Gaba_5,8.627657545567654e-05
0645 Vip Gaba_6,0.0039414772366066966
0646 Vip Gaba_6,0.0004086785153163626
0647 Vip Gaba_6,8.173570306327252e-05
0648 Vip Gaba_6,0.0005040368355568472
0650 Vip Gaba_7,1.8163489569616114e-05
0652 Vip Gaba_8,0.00046770985641761496
0660 Vip Gaba_11,0.00011352180981010072
0661 Vip Gaba_11,0.001289607759442744
0662 Vip Gaba_12,0.0007401621999618567
0663 Vip Gaba_12,0.0019843612354805604
0665 Sncg Gaba_1,5.4490468708848347e-05
0666 Sncg Gaba_1,4.9949596316444315e-05
0667 Sncg Gaba_1,0.0005358229423036753
0669 Sncg Gaba_2,0.0003451063018227062
0670 Sncg Gaba_2,0.00026791147115183767
0671 Sncg Gaba_2,0.0006720491140757962
0673 Sncg Gaba_3,0.0004313828772783827
0674 Sncg Gaba_3,0.0002088801300505853
0676 Sncg Gaba_3,0.0009399605852276339
0677 Sncg Gaba_3,0.00018163489569616114
0678 Sncg Gaba_4,0.0009672058195820581
0679 Sncg Gaba_5,4.086785153163626e-05
0680 Sncg Gaba_5,8.173570306327252e-05
0682 Sncg Gaba_6,0.0011715450772402393
0683 Sncg Gaba_7,0.0002088801300505853
0684 Sncg Gaba_8,0.000322401939860686
0706 Lamp5 Gaba_1,0.00013622617177212087
0707 Lamp5 Gaba_1,0.002869831351999346
0708 Lamp5 Gaba_1,0.0026019198808475085
0709 Lamp5 Gaba_1,0.013068630745338794
0710 Lamp5 Gaba_1,0.0004904142183796351
0711 Lamp5 Gaba_1,4.5408723924040284e-05
0713 Lamp5 Gaba_1,1.3622617177212087e-05
0714 Lamp5 Gaba_2,0.0002542888539746256
0715 Lamp5 Gaba_2,2.2704361962020142e-05
0716 Lamp5 Gaba_2,0.00044954636684799886
0717 Lamp5 Gaba_2,0.0003042384502910699
0718 Lamp5 Gaba_2,0.0015393557410249656
0719 Lamp5 Gaba_3,0.0011397589704934112
0720 Lamp5 Gaba_3,0.0006039360281897358
0721 Lamp5 Gaba_3,0.0002860749607214538
0722 Lamp5 Gaba_4,0.0007310804551770487
0724 Lamp5 Lhx6 Gaba_1,0.00043592374967078677
0726 Lamp5 Lhx6 Gaba_1,0.00024520710918981756
0733 Pvalb chandelier Gaba_1,0.0018390533189236316
0734 Pvalb Gaba_1,0.0001907166404809692
0735 Pvalb Gaba_1,0.0013486391005439965
0736 Pvalb Gaba_1,0.0013440982281515924
0737 Pvalb Gaba_2,0.00029515670550626184
0738 Pvalb Gaba_2,1.8163489569616114e-05
0739 Pvalb Gaba_2,6.35722134936564e-05
0740 Pvalb Gaba_3,0.007810300514934929
0741 Pvalb Gaba_3,0.007115547038897113
0742 Pvalb Gaba_3,0.011288608767516415
0743 Pvalb Gaba_4,0.010035327987212904
0744 Pvalb Gaba_4,0.0007265395827846445
0745 Pvalb Gaba_4,3.17861067468282e-05
0746 Pvalb Gaba_4,0.0007265395827846445
0747 Pvalb Gaba_4,0.0024838571986450036
0748 Pvalb Gaba_5,0.0001725531509113531
0751 Pvalb Gaba_6,0.00035872891899991826
0752 Pvalb Gaba_6,0.00024066623679741352
0753 Pvalb Gaba_7,0.00010444006502529266
0754 Pvalb Gaba_8,0.007828464004504545
0755 Pvalb Gaba_9,3.632697913923223e-05
0756 Sst Gaba_1,0.000794652668670705
0757 Sst Gaba_1,0.00029515670550626184
0758 Sst Gaba_1,0.0015438966134173697
0759 Sst Gaba_1,0.0006947534760378164
0760 Sst Gaba_1,0.001089809374176967
0761 Sst Gaba_1,0.0006538856245061802
0766 Sst Gaba_2,4.9949596316444315e-05
0768 Sst Gaba_3,2.2704361962020142e-05
0770 Sst Gaba_3,2.7245234354424173e-05
0771 Sst Gaba_3,0.00011352180981010072
0773 Sst Gaba_3,1.3622617177212087e-05
0775 Sst Gaba_3,1.3622617177212087e-05
0776 Sst Gaba_4,7.719483067086848e-05
0777 Sst Gaba_4,0.0007401621999618567
0778 Sst Gaba_4,0.0012169538011642797
0779 Sst Gaba_4,0.002751768669796841
0780 Sst Gaba_4,0.0025655929017082764
0781 Sst Gaba_5,0.00046316898402521095
0782 Sst Gaba_5,0.00017709402330375713
0783 Sst Gaba_5,0.00026337059875943366
