,index,gene,global_bin,present,avg_exp
27,908,Lypd6b,0.5157331064555448,0.24975255691191023,1.042003789195053
28,920,Galnt13,0.538727557340313,0.7238535136918509,1.2482809517511795
29,933,Kcnh7,0.6029846142189351,0.7347410095677995,2.246454522930108
30,991,Pde1a,0.530632108695193,0.39030023094688227,1.8352170747980776
31,1084,Trp53i11,0.5239804118284166,0.6892114813592873,1.0025341142443835
32,1109,Mpped2,0.6092331992341236,0.5645001649620587,1.73427288953499
33,1115,Bdnf,0.5534019563751842,0.32134609039920814,1.104185475664781
34,1147,Meis2,0.7115019379376131,0.7644341801385681,3.321439274690417
35,1219,Sema6d,0.6316394591444385,0.7743319036621578,2.332533191878052
36,1223,Ctxn2,0.8262088363208229,0.7855493236555592,2.334759493121989
37,1300,Snap25,0.64274562513933,0.6004618937644343,0.9294933006071817
38,1479,Zfas1,0.5324060925129406,0.787528868360277,1.3729791722017715
39,1500,Tshz2,0.5667270369052693,0.5984823490597162,2.2955414654263695
40,1509,Cbln4,0.5789584458377837,0.4744308808973936,1.1269612053120197
41,1586,Chrna4,0.5408565169241266,0.555922137908281,0.847827977762876
42,1604,Pkia,0.5339771738970891,0.746288353678654,0.8708007971032052
43,1621,Ralyl,0.6961244848209373,0.790168261299901,2.350423471999344
44,1680,Hspa4l,0.6275420934040324,0.7099967007588255,0.9965495619509279
45,1692,Pcdh10,0.5500032399539689,0.7195645001649621,1.4211164944583354
46,1719,Trpc4,0.5553573925395681,0.2256680963378423,1.1108099332731263
47,1773,Gm20754,0.592531343542055,0.23292642692180798,2.2946642598103133
48,1787,Gria2,0.505033369068739,0.6680963378422962,0.7037518580002047
49,1800,Mab21l2,0.5987782477319529,0.5506433520290334,1.4590628747698715
50,1817,Gm3764,0.5235152569830868,0.23061695809963706,0.769131707312773
51,1953,Syt6,0.5852811759149483,0.22896733751237214,1.297528418440169
52,1967,Kcnd3,0.5168600067612349,0.5381062355658198,1.4964878050827575
53,1975,Atp5f1,0.5245265503154042,0.6403827119762455,0.9191842276531337
54,1985,AI504432,0.6988981256104004,0.7578356977895084,1.9204190439941287
55,1986,Kcna2,0.7764520178679277,0.7710326624876279,2.055079996254064
56,1989,Lamtor5,0.5171995160439071,0.7974265918838667,0.9788723590871161
57,1993,Ahcyl1,0.5955306833542581,0.7848894754206532,1.0516697209782362
58,2016,Ntng1,0.6263256685086128,0.5615308479049819,2.712177418688033
59,2021,Col11a1,0.5312277460186117,0.28142527218739694,1.4360006019018496
60,2022,Olfm3,0.6228887835696677,0.7759815242494226,2.113867070296761
61,2034,Plppr5,0.5998091264884309,0.7532167601451666,1.136881180867236
62,2035,Gm26871,0.6248527726043701,0.7043879907621247,2.3989315404261022
63,2055,Ndst4,0.5057765297520541,0.3922797756516001,1.489252434862687
64,2074,Col25a1,0.676383181399474,0.21247113163972287,2.287138943518605
65,2096,Ppp3ca,0.7446576163033647,0.7476080501484659,1.2394239471403905
66,2164,Negr1,0.6979612578519817,0.7710326624876278,2.2096342818331522
67,2181,Tox,0.5292183126014234,0.3002309468822171,1.626775265966642
68,2197,Runx1t1,0.5499599751232087,0.6789838337182448,1.4011584797383152
69,2235,Cnr1,0.6106298261671248,0.558561530847905,1.6106324757246848
70,2324,Plppr1,0.5806071408043523,0.6806334543055098,1.4484458536849827
