cluster,proportion
3223 SCig Foxb1 Glut_2,0.0003849361647526785
3226 SCig Foxb1 Glut_2,0.00019246808237633926
3231 SCig Foxb1 Glut_3,0.0004490921922114583
3240 SCig Foxb1 Glut_4,0.0003849361647526785
3241 SCig-an-PPT Foxb1 Glut_1,0.0003849361647526785
3244 SCig-an-PPT Foxb1 Glut_1,0.0005774042471290178
3250 SCig-an-PPT Foxb1 Glut_1,0.0004490921922114583
3254 SCig Foxb1 Otx2 Glut_1,0.00025662410983511903
3263 SCiw Pitx2 Glut_1,0.0011548084942580355
3264 SCiw Pitx2 Glut_1,0.004426765894655803
3265 SCiw Pitx2 Glut_1,0.003143645345480208
3266 SCiw Pitx2 Glut_1,0.004555077949573362
3267 SCiw Pitx2 Glut_1,0.0019888368512221725
3268 SCiw Pitx2 Glut_1,0.00019246808237633926
3269 SCiw Pitx2 Glut_1,0.0035285815102328866
3270 SCiw Pitx2 Glut_1,0.0008340283569641367
3271 SCiw Pitx2 Glut_1,0.00032078013729389875
3272 SCiw Pitx2 Glut_1,0.0010264964393404761
3278 SCiw Pitx2 Glut_2,0.0008981843844229166
3284 IC Tfap2d Maf Glut_1,0.0025020850708924102
3286 IC Tfap2d Maf Glut_1,0.00019246808237633926
3287 IC Tfap2d Maf Glut_1,0.00032078013729389875
3288 IC Tfap2d Maf Glut_1,0.0003849361647526785
3289 IC Tfap2d Maf Glut_1,0.00019246808237633926
3296 IC Tfap2d Maf Glut_2,0.0008340283569641367
3297 IC Tfap2d Maf Glut_2,0.000769872329505357
3298 IC Tfap2d Maf Glut_2,0.00025662410983511903
3300 IC Tfap2d Maf Glut_2,0.00019246808237633926
3304 IC Tfap2d Maf Glut_3,0.0027587091807275295
3305 IC Tfap2d Maf Glut_3,0.0020529928786809522
3306 IC Tfap2d Maf Glut_3,0.008661063706935267
3308 IC Tfap2d Maf Glut_3,0.002309616988516071
3309 IC Tfap2d Maf Glut_4,0.00019246808237633926
3310 IC Tfap2d Maf Glut_4,0.015525758645024701
3311 IC Tfap2d Maf Glut_4,0.006094822608584076
3312 IC Tfap2d Maf Glut_4,0.0020529928786809522
3314 IC Tfap2d Maf Glut_4,0.0016039006864694938
3315 IC Tfap2d Maf Glut_5,0.0009623404118816963
3317 IC Tfap2d Maf Glut_6,0.0005774042471290178
3319 IC Tfap2d Maf Glut_6,0.0010264964393404761
3326 CUN-PPN Evx2 Meis2 Glut_1,0.00032078013729389875
3330 CUN-PPN Evx2 Meis2 Glut_1,0.0006415602745877975
3331 CUN-PPN Evx2 Meis2 Glut_1,0.0004490921922114583
3333 CUN-PPN Evx2 Meis2 Glut_1,0.0012189645217168153
3335 CUN-PPN Evx2 Meis2 Glut_1,0.00019246808237633926
3338 CUN-PPN Evx2 Meis2 Glut_3,0.0021813049335985117
3339 CUN-PPN Evx2 Meis2 Glut_3,0.0007057163020465773
3344 CUN-PPN Evx2 Meis2 Glut_4,0.0004490921922114583
3345 CUN-PPN Evx2 Meis2 Glut_4,0.0005132482196702381
3347 CUN-PPN Evx2 Meis2 Glut_4,0.0014755886315519343
