,gene,score
300,1700030A11Rik,0.09722012778065367
301,1700030C12Rik,0.08798303758643222
302,1700030C14Rik,0.06257230603171095
303,1700030E10Rik,0.05135544603638502
304,1700030F04Rik,0.2127430186671984
305,1700030J22Rik,0.14272922174623057
306,1700030K09Rik,0.1568014333722525
307,1700030L20Rik,0.059041964700710756
308,1700030L22Rik,0.09757154485714271
309,1700030M09Rik,0.09403180726826203
310,1700030N03Rik,0.05155146735057542
311,1700030O20Rik,0.09135943580209303
312,1700031A10Rik,0.0433426679994001
313,1700031F05Rik,0.07287582701661095
314,1700031F10Rik,0.0
315,1700031L13Rik,0.08589250965558652
316,1700031P21Rik,0.07900589490636224
317,1700034B16Rik,0.0
318,1700034E13Rik,0.0289130989810297
319,1700034G24Rik,0.13402364344274348
320,1700034H15Rik,0.10730327671068345
321,1700034I23Rik,0.0787481525370312
322,1700034J05Rik,0.06490067741341551
323,1700034K08Rik,0.057610702994949456
324,1700034P13Rik,0.1448379676746167
325,1700036A12Rik,0.08962339316385655
326,1700036G14Rik,0.011237859158029528
327,1700036O09Rik,0.0
328,1700037C06Rik,0.0009554453330044733
329,1700037C18Rik,0.12929893364161466
330,1700037F03Rik,0.10824853328464079
331,1700037H04Rik,0.3465775517536483
332,1700039E22Rik,0.09860269367973043
333,1700039M10Rik,0.07689337348999944
334,1700039M15Rik,0.10662890134993175
335,1700040D17Rik,0.08669177173567465
336,1700040E09Rik,0.0
337,1700040F15Rik,0.0
338,1700040F17Rik,0.0
339,1700040L08Rik,0.06080094545008134
340,1700041B01Rik,0.05541390332184117
341,1700041C23Rik,0.03597797065988883
342,1700041G16Rik,0.09551513353810193
343,1700041I07Rik,0.07869589748646443
344,1700041M05Rik,0.034074477479840964
345,1700041M19Rik,0.07580353576575491
346,1700042D02Rik,0.0754457930940221
347,1700042G07Rik,0.08089541316798149
348,1700042G15Rik,0.05250743653097247
349,1700042O05Rik,0.011384525166222893
350,1700042O10Rik,0.6743366619070283
351,1700044C05Rik,0.11612816601742719
352,1700044K03Rik,0.0
353,1700045H11Rik,0.0604053031282059
354,1700046C09Rik,0.06839993846410489
355,1700047A11Rik,0.13241477846516045
356,1700047E10Rik,0.06378242669519836
357,1700047F07Rik,0.08077034619317089
358,1700047G03Rik,0.06438163590391591
359,1700047G07Rik,0.017668579726895745
360,1700047I17Rik2,0.05985732767188688
361,1700047K16Rik,0.06912841290352309
362,1700047L14Rik,0.0650764038245487
363,1700047M11Rik,0.07927229627132798
364,1700048F04Rik,0.07121352937500224
365,1700048M11Rik,0.08160930821254501
366,1700048O14Rik,0.0
367,1700048O20Rik,0.14403570474236274
368,1700048P04Rik,0.0
369,1700049E15Rik,0.0846112917339658
370,1700049E17Rik1,0.0
371,1700049E17Rik2,0.0
372,1700049E22Rik,0.04356316609254736
373,1700051A21Rik,0.09527038445189114
374,1700052H01Rik,0.09025674586989181
375,1700052I22Rik,0.039889142166355064
376,1700052K11Rik,0.12054623517993698
377,1700054A03Rik,0.10982544961610548
378,1700054K02Rik,0.0
379,1700054K19Rik,0.09133517584872243
380,1700054M17Rik,0.07158089870818998
381,1700054O05Rik,0.0
382,1700055C04Rik,0.002816916917375573
383,1700055D18Rik,0.08657675810870175
384,1700056E22Rik,0.07305333688943531
385,1700056N10Rik,0.08354236563297608
386,1700057G04Rik,0.06680702884416066
387,1700057H15Rik,0.10688955675474036
388,1700057H21Rik,0.1497968895533253
389,1700058P15Rik,0.07276747481328083
390,1700060C16Rik,0.11155415843047911
391,1700060C20Rik,0.0636453838442896
392,1700060J05Rik,0.04792919045446379
393,1700060O08Rik,0.08461896980651792
394,1700061E17Rik,0.0
395,1700061E18Rik,0.06647415614070352
396,1700061F12Rik,0.014464078416664703
397,1700061G19Rik,0.09866407569029347
398,1700061H18Rik,0.059795806423320795
399,1700061I17Rik,0.05283473280311331
400,1700061J23Rik,0.0593186997081217
401,1700061N14Rik,0.1039328729737087
402,1700062C10Rik,0.03177814714122703
403,1700063A18Rik,0.07326269606750774
404,1700063D05Rik,0.20706439998136933
405,1700063H04Rik,0.007653319840430483
406,1700063H06Rik,0.07030575690295057
407,1700063J08Rik,0.08290465075388018
408,1700063O14Rik,0.0
409,1700064H15Rik,0.08523683498180962
410,1700064J06Rik,0.043675547459282475
411,1700064M15Rik,0.08421348298779244
412,1700065D16Rik,0.07392032460125104
413,1700065J11Rik,0.04291014853847975
414,1700065J18Rik,0.12576335088637264
415,1700065L07Rik,0.07616075602931893
416,1700065O20Rik,0.05109413305814796
417,1700066B17Rik,0.02675837797105659
418,1700066B19Rik,0.11957940135897008
419,1700066C05Rik,0.14064962396743613
420,1700066J03Rik,0.07425657150428873
421,1700066M21Rik,0.15170114375823499
422,1700066N21Rik,0.0746502769964527
423,1700066O22Rik,0.05313077118794789
424,1700067G17Rik,0.0
425,1700067K01Rik,0.06674164162252078
426,1700067P10Rik,0.0685493950237744
427,1700069B07Rik,0.05709249418695093
428,1700069L16Rik,0.08660236639763177
429,1700069P05Rik,0.026217949230973914
430,1700071G01Rik,0.06599852727218217
